"date_id,date,year,month,month_name,quarter"
"20230101,2023-01-01,2023,1,January,Q1"
"20230201,2023-02-01,2023,2,February,Q1"
"20230301,2023-03-01,2023,3,March,Q1"
"20230401,2023-04-01,2023,4,April,Q2"
"20230501,2023-05-01,2023,5,May,Q2"
"20230601,2023-06-01,2023,6,June,Q2"
"20230701,2023-07-01,2023,7,July,Q3"
"20230801,2023-08-01,2023,8,August,Q3"
"20230901,2023-09-01,2023,9,September,Q3"
"20231001,2023-10-01,2023,10,October,Q4"
"20231101,2023-11-01,2023,11,November,Q4"
"20231201,2023-12-01,2023,12,December,Q4"
"20240101,2024-01-01,2024,1,January,Q1"
"20240201,2024-02-01,2024,2,February,Q1"
"20240301,2024-03-01,2024,3,March,Q1"
"20240401,2024-04-01,2024,4,April,Q2"
"20240501,2024-05-01,2024,5,May,Q2"
"20240601,2024-06-01,2024,6,June,Q2"
"20240701,2024-07-01,2024,7,July,Q3"
"20240801,2024-08-01,2024,8,August,Q3"
"20240901,2024-09-01,2024,9,September,Q3"
"20241001,2024-10-01,2024,10,October,Q4"
"20241101,2024-11-01,2024,11,November,Q4"
"20241201,2024-12-01,2024,12,December,Q4"
